"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 08 18:07:35 EEST 2022","Fri Jul 08 18:07:44 EEST 2022","9106","","org.saucedemo.SignInUserTest","","org.saucedemo.SignInUserTest","signInUserTest","signInUserTest","Login Test with valid Username and valid Password."
"passed","Fri Jul 08 18:08:26 EEST 2022","Fri Jul 08 18:08:27 EEST 2022","1385","","org.saucedemo.BuyGoodsTest","","org.saucedemo.BuyGoodsTest","buyGoodsTest","buyGoodsTest","Login User Test with valid Username and Password and making an order"
